experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.8362727272727273,17,40134,40135,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,20,0.01953125,0.0067419999389999995,151883.71540565212,106347.59908426873,4799,2133,2109,9041,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,18,40136,40137,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,12,0.01171875,0.0067419999389999995,151883.71540565212,121706.84518519673,4659,2090,2202,8951,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,19,40138,40139,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,16,0.015625,0.0067419999389999995,151883.71540565212,113789.97905355784,4861,2159,2073,9093,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,20,40140,40141,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,25,0.0244140625,0.00670999994,152608.04905461744,98035.9967641113,4749,2139,2179,9067,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,21,40142,40143,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,21,0.0205078125,0.006645999942,154077.64203077086,106059.3641802836,4625,2174,2005,8804,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,22,40144,40145,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,20,0.01953125,0.00670999994,152608.04905461744,106854.77093147878,4695,2112,2127,8934,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,23,40146,40147,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,18,0.017578125,0.006677999941,153339.32450539386,111070.77233798605,4670,2116,2125,8911,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,24,40148,40149,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,14,0.013671875,0.0067419999389999995,151883.71540565212,117681.24037365212,4610,2117,2126,8853,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,25,40150,40151,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,18,0.017578125,0.00670999994,152608.04905461744,110541.07567099252,4821,2108,2057,8986,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,26,40152,40153,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,17,0.0166015625,0.0067419999389999995,151883.71540565212,111889.36139526565,4709,2131,2094,8934,5.999998200501011e-07,150453.52108594033
