experimento,distancia_km_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
distancia,23.846153846153847,5,10310,10311,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007612153752,33630.42948688985,33630.429486886125,1121,565,565,2251,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,6,10312,10313,23.846153846153847,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.007836153745,32669.088475113887,28017.822734880643,1101,585,586,2272,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,7,10314,10315,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007516153755,34059.97380371578,34059.973803712004,1038,623,570,2231,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,8,10316,10317,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00767615375,33350.0354914074,33350.0354914037,1089,583,623,2295,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,9,10318,10319,23.846153846153847,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.007836153745,32669.088475113887,28017.822734880643,1103,555,562,2220,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,10,10320,10321,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.00767615375,33350.0354914074,30693.740732050726,1034,601,594,2229,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,11,10322,10323,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007772153747,32938.102916300944,32938.10291629729,1050,622,611,2283,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,12,10324,10325,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0074521537569999996,34352.4849791958,34352.48497919199,1046,576,597,2219,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,13,10326,10327,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.007612153752,33630.42948688985,30951.80164483085,1018,587,561,2166,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,14,10328,10329,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.0074521537569999996,34352.4849791958,31616.34618724077,1048,553,544,2145,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,15,10330,10331,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007900153743,32404.432663963158,32404.432663959567,1050,565,563,2178,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,16,10332,10333,23.846153846153847,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.007740153748,33074.27841031563,28365.323700115354,1020,608,581,2209,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,17,10334,10335,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.008092153737,31635.582852249016,29115.842417151907,1089,621,631,2341,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,18,10336,10337,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007644153751,33489.645595695976,33489.645595692265,1069,559,551,2179,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,19,10338,10339,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00799615374,32015.392440415988,32015.39244041244,1088,566,609,2263,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,20,10340,10341,23.846153846153847,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.007644153751,33489.645595695976,28721.552928204714,1038,564,576,2178,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,21,10342,10343,23.846153846153847,0.1,0.1,100.0,0.98,1,256,3,0.01171875,0.007836153745,32669.088475113887,26178.261986565925,1018,580,596,2194,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,22,10344,10345,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007836153745,32669.088475113887,32669.088475110268,1059,565,586,2210,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,23,10346,10347,23.846153846153847,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.007772153747,32938.102916300944,30314.618147228855,1042,605,586,2233,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,24,10348,10349,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007740153748,33074.27841031563,33074.27841031196,1115,563,592,2270,2.9999995498908305e-07,133183.9720175987
distancia,23.846153846153847,25,10350,10351,23.846153846153847,0.1,0.1,100.0,0.98,1,256,0,0.0,0.007740153748,33074.27841031563,33074.27841031196,1107,615,520,2242,2.9999995498908305e-07,133183.9720175987
